Index No.,Model Name,Training MAE,Training RMSE,Testing MAE,Testing RMSE
0,Linear Regression,283.6750054,367.9673533,438.4341887,443.4389949
1,Polynomial Regression degree 2,273.7270366,359.4761414,246.3440038,248.0801389
2,Polynomial Regression degree 3,273.7250777,359.4737842,246.2852281,248.0226744
3,Polynomial Regression degree 4,273.7231241,359.4714261,246.2269654,247.9657092
4,Polynomial Regression degree 5,273.7211685,359.4690671,246.1686807,247.9087251
5,Polynomial Regression degree 6,273.7192125,359.4667071,246.1103823,247.8517299
6,Decision Tree,0,0,76.64285714,121.6819625
7,Random Forest Regressior,25.64220952,47.9298229,72.91428571,120.1634951
8,ARIMA,75.04427286,129.1087568,109.9725102,145.6817897
9,SARIMA,74.62562479,128.9852636,59.23272707,112.8805921
10,VAR,,,162.0231959,170.6303242
